DOI,Publisher,Methodology,Year
https://doi.org/10.1109/SmartNets50376.2021.9555424,SCP,ML+KB,2021
https://doi.org/10.1088/1755-1315/675/1/012196,SCP,ML,2021
https://doi.org/10.1051/e3sconf/202123303057,SCP,ML,2021
https://doi.org/10.1109/ISAP48318.2019.9065995,SCP,ML,2019
https://doi.org/10.1109/IECON43393.2020.9254466,SCP,ML,2020
https://doi.org/10.1109/ICIoT48696.2020.9089508,SCP,ML,2020
https://doi.org/10.1051/e3sconf/201911105010,SCP,MB,2019
https://doi.org/10.1109/DASC/PiCom/CBDCom/CyberSciTech.2019.00027,SCP,ML,2019
https://doi.org/10.26868/25222708.2019.210311,SCP,MB+ML,2019
https://doi.org/10.1016/j.energy.2020.117323,SCP,ML,2020
https://doi.org/10.1016/j.ifacol.2019.10.026,SCP,MB,2019
https://doi.org/10.1016/j.ifacol.2019.06.014,SCP,MB+KB,2019
https://doi.org/10.23919/ACC.2018.8431917,SCP,MB+KB,2018
https://doi.org/10.1016/j.ifacol.2018.09.629,SCP,MB,2018
https://doi.org/10.1109/COASE.2017.8256214,SCP,MB+ML,2017
https://doi.org/10.1109/COASE.2016.7743560,SCP,MB,2016
https://doi.org/10.1109/SYSTOL.2016.7739744,SCP,MB,2016
https://doi.org/10.1016/j.procs.2016.05.092,SCP,KB,2016
https://doi.org/10.1109/CCA.2015.7320737,SCP,KB,2015
https://doi.org/10.1109/CoASE.2015.7294223,SCP,MB+KB,2015
https://doi.org/10.1109/CoASE.2014.6899463,SCP,MB+ML,2014
https://doi.org/10.1016/j.egypro.2014.12.432,SCP,MB,2014
