Paper ID,DOI,DOI_short,Methodology,Publisher,Year,data_listed,data_metadata,data_stats,data_type,data_access,preproc_data,preproc_features,multiple data,opt_mentioned,opt_baseline,opt_procedure,params_models,params_baselines,params_best_model,params_best_baseline,eval_splitting,eval_metrics,eval_sig_test,code_link,code_empty,code_preproc,code_features_gen,code_eval,code_params_opt,code_info,code_runable
23,https://doi.org/10.1109/ICCCNT61001.2024.10724490,10.1109/ICCCNT61001.2024.10724490,ML,IEEE,2024,n,y,n,"real-world, simulation",public,y,n,na,n,n,n,n,n,n,n,Single-Split,"Accuracy, F1 score, Precision, Recall",n,n,na,na,na,na,na,na,na
24,https://doi.org/10.1109/ICSSAS57918.2023.10331800,10.1109/ICSSAS57918.2023.10331800,ML,IEEE,2023,n,n,n,No Information,No Information,y,y,na,n,n,n,n,n,n,n,No Information,"Accuracy, Error Est., F1 score, Precision, Recall",n,n,na,na,na,na,na,na,na
25,https://doi.org/10.23919/ACC45564.2020.9147772,10.23919/ACC45564.2020.9147772,ML,IEEE,2020,y,y,n,simulation,public,n,y,y,y,n,y,n,n,y,n,Single-Split,"Error Est., F1 score, Precision, Recall",n,y,n,y,y,y,y,y,y
26,https://doi.org/10.1109/ICoICI62503.2024.10696849,10.1109/ICoICI62503.2024.10696849,ML,IEEE,2024,n,n,n,real-world,No Information,n,n,na,n,n,n,n,n,n,n,No Information,"Accuracy, F1 score, Precision, Recall",n,n,na,na,na,na,na,na,na
27,https://doi.org/10.1109/COASE.2016.7743463,10.1109/COASE.2016.7743463,ML,IEEE,2016,n,y,n,real-world,No Information,y,n,y,n,n,n,n,n,n,n,No Information,no metrics,n,n,na,na,na,na,na,na,na
28,https://doi.org/10.1109/ICITBS.2016.41,10.1109/ICITBS.2016.41,ML,IEEE,2016,n,y,y,real-world,No Information,n,n,na,n,n,n,n,n,n,n,No Information,"Qualitative metrics, no metrics",n,n,na,na,na,na,na,na,na
29,https://doi.org/10.1109/CoASE.2014.6899467,10.1109/CoASE.2014.6899467,ML,IEEE,2014,n,y,n,real-world,No Information,n,y,na,n,n,n,n,n,n,n,Single-Split,Fault Detection Rate,n,n,na,na,na,na,na,na,na
30,https://doi.org/10.1109/IINTEC48298.2019.9112110,10.1109/IINTEC48298.2019.9112110,ML,IEEE,2019,n,y,y,simulation,No Information,n,y,na,n,n,n,n,n,n,n,Single-Split,"Accuracy, Confusion Matrix, F1 score, Precision, Recall",n,n,na,na,na,na,na,na,na
31,https://doi.org/10.1109/ISIE.2014.6865041,10.1109/ISIE.2014.6865041,ML,IEEE,2014,n,y,n,real-world,No Information,y,y,na,n,n,n,n,n,n,n,No Information,Charts,n,n,na,na,na,na,na,na,na
32,https://doi.org/10.1109/ICPES47639.2019.9105507,10.1109/ICPES47639.2019.9105507,MB+ML,IEEE,2019,n,y,n,simulation,No Information,n,y,na,n,n,n,n,n,n,n,Single-Split,"FPR, Fault Detection Rate",n,n,na,na,na,na,na,na,na
33,https://doi.org/10.1145/3486611.3491122,10.1145/3486611.3491122,ML,ACM,2021,n,y,n,simulation,No Information,n,y,na,y,y,n,n,n,y,y,Train/Validation/Test,"FPR, TPR",n,n,na,na,na,na,na,na,na
34,https://dl.acm.org/doi/10.5555/3615924.3623632,10.5555/3615924.3623632,ML,ACM,2023,n,y,n,"real-world, simulation",proprietary,n,n,na,y,y,n,n,n,y,y,No Information,"AUC, F1 score",n,n,na,na,na,na,na,na,na
35,https://doi.org/10.1145/3486611.3486644,10.1145/3486611.3486644,MB+ML,ACM,2021,n,y,n,simulation,No Information,n,y,na,y,n,y,n,n,y,n,No Information,"Error Est., Operational KPIs",n,n,na,na,na,na,na,na,na
36,https://doi.org/10.1145/2674061.2674067,10.1145/2674061.2674067,ML+KB,ACM,2014,n,y,n,real-world,No Information,n,n,na,n,n,n,n,n,n,n,No Information,Qualitative metrics,n,n,na,na,na,na,na,na,na
37,https://doi.org/10.1145/3587716.3587749,10.1145/3587716.3587749,ML,ACM,2023,n,y,y,real-world,No Information,n,n,na,y,n,n,y,n,y,n,No Information,"Accuracy, F1 score, Precision, Recall, TPR",n,n,na,na,na,na,na,na,na
38,https://dl.acm.org/doi/10.5555/2873021.2873029,10.5555/2873021.2873029,ML+KB,ACM,2015,n,n,n,"real-world, simulation",No Information,n,n,na,n,n,n,n,n,n,n,No Information,no metrics,n,n,na,na,na,na,na,na,na
