Paper ID,DOI,Methodology,Publisher,Year,1a. Are all the data sources listed?,1b. What type of data is used?,1c. Dataset statistics present?,1d. Data availability,1e. Benchmark Dataset,1f. Metadata/Description,2a. pre porcessing steps,2b. removed source data,2c. multiple sources: combination clear?,2d. methods for features/descriptors,3a. HP opt - model(s),3b. HP opt - baseline(s),3c. HP opt procedure,3d. searched ranges - model,3e. searched ranges - baselines,3f. best HP - model,3g. best HP - baselines,4a. what splitting type,4b. splitting method,4c. splitting type (evaluation procedure),4d. data leakage,4e. metrics,4f. stat sig tests,5a. code/workflow repo,5b.  empty repo ,5c. data preprocessing code,5d. feature generation code,5e. evaluation code,5f. hyperparameter tuning code,5g. supplementary info,5h. sw implementation
23,https://doi.org/10.1109/ICCCNT61001.2024.10724490,ML,IEEE,2024,n,"real-world, simulation",n,public,,y,y,,na,n,n,n,n,n,n,n,n,Single-Split,,,,"Accuracy, F1 score, Precision, Recall",n,n,na,na,na,na,na,na,na
24,https://doi.org/10.1109/ICSSAS57918.2023.10331800,ML,IEEE,2023,n,not mentioned,n,not mentioned,,n,y,,na,y,n,n,n,n,n,n,n,not mentioned,,,,"Accuracy, Error Est., F1 score, Precision, Recall",n,n,na,na,na,na,na,na,na
25,https://doi.org/10.23919/ACC45564.2020.9147772,ML,IEEE,2020,y,simulation,n,public,,y,n,,y,y,y,n,y,n,n,y,n,Single-Split,,,,"Error Est., F1 score, Precision, Recall",n,y,n,y,y,y,y,y,y
26,https://doi.org/10.1109/ICoICI62503.2024.10696849,ML,IEEE,2024,n,real-world,n,not mentioned,,n,n,,na,n,n,n,n,n,n,n,n,not mentioned,,,,"Accuracy, F1 score, Precision, Recall",n,n,na,na,na,na,na,na,na
27,https://doi.org/10.1109/COASE.2016.7743463,ML,IEEE,2016,n,real-world,n,not mentioned,,y,y,,y,n,n,n,n,n,n,n,n,not mentioned,,,,no metrics,n,n,na,na,na,na,na,na,na
28,https://doi.org/10.1109/ICITBS.2016.41,ML,IEEE,2016,n,real-world,y,not mentioned,,y,n,,na,n,n,n,n,n,n,n,n,not mentioned,,,,"""Qualitative metrics (estimations, etc)"", false alram rates, no metrics",n,n,na,na,na,na,na,na,na
29,https://doi.org/10.1109/CoASE.2014.6899467,ML,IEEE,2014,n,real-world,n,not mentioned,,y,n,,na,y,n,n,n,n,n,n,n,Single-Split,,,,Fault Detection Rate,n,n,na,na,na,na,na,na,na
30,https://doi.org/10.1109/IINTEC48298.2019.9112110,ML,IEEE,2019,n,simulation,y,not mentioned,,y,n,,na,y,n,n,n,n,n,n,n,Single-Split,,,,"Accuracy, Confusion Matrix, F1 score, Precision, Recall",n,n,na,na,na,na,na,na,na
31,https://doi.org/10.1109/ISIE.2014.6865041,ML,IEEE,2014,n,real-world,n,not mentioned,,y,y,,na,y,n,n,n,n,n,n,n,not mentioned,,,,Charts,n,n,na,na,na,na,na,na,na
32,https://doi.org/10.1109/ICPES47639.2019.9105507,MB+ML,IEEE,2019,n,simulation,n,not mentioned,,y,n,,na,y,n,n,n,n,n,n,n,Single-Split,,,,"FPR, Fault Detection Rate",n,n,na,na,na,na,na,na,na
33,https://doi.org/10.1145/3486611.3491122,ML,ACM,2021,n,simulation,n,not mentioned,,y,n,,na,y,y,y,n,n,n,y,y,T/V/T,,,,"FPR, TPR",n,n,na,na,na,na,na,na,na
34,https://dl.acm.org/doi/10.5555/3615924.3623632,ML,ACM,2023,n,"real-world, simulation",n,proprietary,,y,n,,na,n,y,y,n,n,n,y,y,not mentioned,,,,"AUC, F1 score",n,n,na,na,na,na,na,na,na
35,https://doi.org/10.1145/3486611.3486644,MB+ML,ACM,2021,n,simulation,n,not mentioned,,y,n,,na,y,y,n,y,n,n,y,n,not mentioned,,,,"""Operational KPIs (man hour reduction, Error Est., timeliness rate etc)""",n,n,na,na,na,na,na,na,na
36,https://doi.org/10.1145/2674061.2674067,ML+KB,ACM,2014,n,real-world,n,not mentioned,,y,n,,na,n,n,n,n,n,n,n,n,not mentioned,,,,"""Qualitative metrics (estimations, etc)"", false alram rates",n,n,na,na,na,na,na,na,na
37,https://doi.org/10.1145/3587716.3587749,ML,ACM,2023,n,real-world,y,not mentioned,,y,n,,na,n,y,n,n,y,n,y,n,not mentioned,,,,"Accuracy, F1 score, Precision, Recall, TPR",n,n,na,na,na,na,na,na,na
